0,,,,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.
91,Oprea  Cri,RC4,Roma Capitale,88,84,88,86,82,79,78,80,78,76,74,-,-
92,Carra  Sar,RC4,Roma Capitale,76,72,79,78,75,77,71,75,75,73,73,59,65
93,Turri  Gia,RC4,Roma Capitale,83,78,86,63,89,87,86,-,-,-,-,-,-
94,Pesavento ,RC5,Roma Capitale,86,64,71,63,59,63,58,62,66,60,55,69,53
95,Pederzani ,RC5,Roma Capitale,66,65,68,67,62,62,60,60,57,59,59,47,56
96,Nerobutto ,RC5,Roma Capitale,65,73,70,68,66,65,79,73,69,64,69,70,61
97,Iani  Igor,RC5,Roma Capitale,58,74,69,70,84,61,63,68,63,63,58,42,59
98,Scannella ,RC5,Roma Capitale,56,70,66,69,67,64,61,63,64,61,62,40,62
99,Dei Ceci  ,RC5,Roma Capitale,73,71,74,71,65,70,65,72,67,56,61,41,63
100,Doretto  M,RC5,Roma Capitale,77,76,75,79,70,72,72,65,68,65,68,49,58
101,Peduzzi  F,RC5,Roma Capitale,79,79,78,76,76,90,90,-,-,-,-,-,-
102,Zanin  Mar,RC5,Roma Capitale,60,80,82,81,71,74,74,74,65,67,64,56,55
103,La Notte  ,RC5,Roma Capitale,72,87,87,85,83,81,77,78,80,77,77,-,-
104,Campagna  ,RC5,Roma Capitale,71,89,64,77,67,58,70,-,-,-,-,-,-
105,De Antoni ,RC5,Roma Capitale,52,81,54,57,57,56,54,-,-,-,-,-,-
106,Gonella  A,RC5,Roma Capitale,57,66,73,74,69,69,68,-,-,-,-,-,-
