0,,,,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time
36,Raftery  A,RC4,Czech Barum,00:09:30.9,00:08:51.7,00:07:26.0,00:16:07.1,00:08:39.5,00:06:42.0,00:16:44.1,00:07:37.8,00:11:42.7,00:10:50.5,00:07:39.9,00:11:25.9,00:10:35.7
37,Škulj  Mar,RC4,Czech Barum,00:07:54.8,00:08:33.2,00:06:54.9,00:15:30.0,00:08:17.7,00:06:42.0,00:15:19.9,00:07:31.2,-,-,-,-,-
38,Zeiringer ,RC4,Czech Barum,00:07:56.5,00:08:23.1,00:06:55.9,00:15:17.7,00:08:16.2,00:06:42.0,00:15:12.3,00:06:54.8,00:10:34.6,00:10:20.8,00:06:55.0,00:10:32.6,00:10:21.7
39,Kreuter  N,RC4,Czech Barum,00:08:13.6,00:08:39.3,00:07:21.6,00:16:11.4,00:08:41.5,00:06:42.0,00:16:22.7,00:08:23.1,00:11:42.7,00:10:52.3,00:07:42.4,00:11:27.8,00:10:45.7
40,Rossi  Ghj,RC4,Czech Barum,00:07:58.0,00:08:31.1,00:07:06.1,00:15:55.4,00:08:22.6,00:06:42.0,00:24:53.0,-,-,-,-,-,-
41,Tarabus  J,RC4 I,Czech Barum,00:07:48.8,00:08:19.5,00:06:54.1,00:15:05.3,00:08:12.3,00:06:42.0,00:14:59.5,00:06:56.4,00:10:33.1,00:10:14.6,00:06:55.0,00:10:32.2,00:10:19.7
44,Oprea  Cri,RC4,Czech Barum,00:08:47.0,00:09:19.2,00:08:24.0,00:18:13.8,00:09:10.3,00:06:42.0,00:17:51.1,00:08:25.6,00:12:55.9,00:11:55.5,00:08:15.3,00:12:37.0,00:11:24.0
45,Cvrček  V.,RC2,Czech Barum,00:07:33.1,00:07:52.3,00:06:43.6,00:14:38.0,00:07:49.6,00:06:42.0,00:14:29.2,00:06:50.2,00:10:10.1,00:09:52.5,00:06:34.5,00:09:51.3,00:09:46.3
46,Jirásek  A,RC2,Czech Barum,00:07:27.8,00:07:59.0,00:06:44.2,00:14:49.3,00:07:46.4,00:06:42.0,00:14:37.8,00:06:50.7,00:10:12.0,00:09:41.7,00:06:38.4,00:10:02.5,00:09:43.5
47,Jirovec  J,RC2,Czech Barum,00:07:33.0,00:08:02.1,00:06:56.2,00:15:15.4,00:08:02.4,00:06:42.0,00:15:16.6,00:06:54.1,00:10:31.2,00:10:05.7,00:06:49.4,00:10:15.8,00:09:53.0
48,Trnovec  P,RC2,Czech Barum,00:07:44.5,00:08:10.7,00:07:07.8,00:15:36.5,00:08:03.4,00:06:42.0,00:15:19.4,00:07:02.0,00:10:32.5,00:10:09.7,00:06:56.0,00:10:36.3,00:10:04.8
49,Kurka  Tom,RC2,Czech Barum,00:07:45.4,00:08:02.8,00:06:56.9,00:15:08.8,00:07:53.3,00:06:42.0,00:15:06.6,00:07:03.9,00:10:39.8,00:09:57.9,00:06:58.7,00:10:20.7,00:09:53.0
50,Zedník  Pe,RC2,Czech Barum,00:07:55.4,00:08:17.0,00:07:12.2,00:15:42.8,00:08:14.0,00:06:42.0,00:15:38.1,00:07:12.0,00:11:18.6,00:10:15.4,00:07:15.2,00:10:47.9,00:10:09.5
51,Vlček  Mar,RC2,Czech Barum,00:07:48.8,00:08:23.3,00:07:17.6,00:16:13.8,00:08:21.7,00:06:42.0,00:15:56.5,00:07:41.2,00:14:20.5,-,-,-,-
53,Windisch  ,RC2,Czech Barum,00:08:15.0,00:08:45.5,00:07:26.8,00:16:42.5,-,-,-,-,-,-,-,-,-
54,László  Z.,RC2,Czech Barum,00:07:56.0,00:08:24.3,00:07:22.8,00:16:11.9,00:08:20.9,00:06:42.0,00:16:09.8,00:07:28.6,00:11:26.5,00:10:35.5,00:07:37.7,00:11:28.7,00:10:36.5
55,Titov  Ant,RC2,Czech Barum,00:08:11.9,00:08:47.9,00:07:36.8,00:16:41.6,00:08:33.6,00:06:42.0,00:16:56.6,00:07:53.0,00:11:36.0,00:10:48.3,00:07:40.1,00:11:27.8,00:10:44.4
56,Widłak  Ig,RC3,Czech Barum,00:08:08.3,00:08:35.0,00:07:35.1,00:16:08.9,00:08:27.2,00:06:42.0,00:16:20.5,00:07:34.7,00:11:15.8,00:10:41.3,00:07:32.2,00:11:16.5,00:10:52.0
57,Rada  Mart,RGT,Czech Barum,00:08:14.5,00:08:59.6,00:07:51.4,00:16:46.9,00:08:47.6,00:06:42.0,00:17:08.5,00:07:42.7,00:11:39.1,00:10:55.7,00:07:43.6,00:11:37.0,00:10:56.0
58,Štefan  Da,RC4 I,Czech Barum,00:08:03.2,00:08:32.8,00:07:15.6,00:15:58.2,00:08:28.0,00:06:42.0,00:15:44.2,00:07:22.3,00:11:10.0,00:10:40.5,00:07:16.4,00:10:57.9,00:10:35.7
59,Ocelka  Fi,RC4 I,Czech Barum,00:08:06.0,00:08:30.9,00:16:47.8,00:25:05.3,-,-,-,-,-,-,-,-,-
60,Surovič  P,RC4 I,Czech Barum,00:08:24.6,00:08:33.6,00:07:36.5,00:16:00.5,00:08:34.4,00:06:42.0,00:16:02.3,00:07:30.8,00:11:17.8,00:10:39.5,00:07:24.3,00:11:26.1,00:10:26.7
62,Jatel  Rad,RC4 II,Czech Barum,00:08:42.6,00:08:58.0,00:07:36.5,00:16:40.6,00:08:48.7,00:06:42.0,00:16:48.0,00:07:30.5,00:11:27.8,00:11:05.0,00:07:39.4,00:11:31.5,00:11:05.5
63,Nwelati  D,RC4 II,Czech Barum,00:08:37.0,00:09:08.8,00:07:41.1,00:16:57.1,00:08:53.2,00:06:42.0,00:16:40.5,00:07:58.4,00:11:37.4,00:11:06.4,00:07:38.6,00:14:07.2,00:11:02.2
65,Lukašík  P,RC4 II,Czech Barum,00:08:17.8,00:08:55.0,00:07:38.5,00:16:57.8,00:08:50.4,00:06:42.0,00:17:07.0,00:07:38.4,00:11:43.4,00:11:04.6,00:07:43.7,00:11:39.1,00:11:08.9
66,Vaňhara  M,RC4 I,Czech Barum,00:08:14.6,00:08:41.1,00:07:25.4,00:16:45.5,00:18:08.7,-,-,-,-,-,-,-,-
67,Kruťa  Ada,RC4 I,Czech Barum,00:08:25.6,00:08:46.3,00:07:30.3,00:16:33.4,00:09:35.8,00:06:42.0,00:17:06.2,00:07:56.1,00:11:23.1,00:11:08.1,00:07:43.3,00:11:22.9,00:11:10.2
68,Pohlídal  ,RC4 II,Czech Barum,00:08:13.3,00:08:46.6,00:07:20.2,00:16:29.4,00:08:46.5,00:06:42.0,00:16:36.3,00:07:38.3,00:11:38.2,00:10:57.4,00:07:38.4,00:11:29.7,00:11:06.9
69,Bartúnek  ,RC4 II,Czech Barum,00:08:36.1,00:09:01.2,00:07:47.1,00:17:14.1,00:08:47.5,00:06:42.0,00:17:03.6,00:07:42.4,00:11:51.2,00:11:06.4,00:07:30.5,00:11:23.3,00:11:13.1
70,Vogel  Adr,RC4,Czech Barum,00:08:23.6,00:08:49.1,00:07:38.8,00:16:35.1,00:08:43.6,00:06:42.0,00:16:41.5,00:07:42.6,00:11:52.0,00:10:51.0,00:07:46.1,00:11:31.3,00:10:44.0
71,Stratieva ,RC4,Czech Barum,00:08:31.1,00:09:00.5,00:07:48.4,00:17:11.4,00:09:02.6,00:06:42.0,00:16:56.5,00:07:53.6,00:12:02.5,00:11:15.6,00:07:52.1,00:11:50.4,00:11:26.1
72,Ševčík  Da,RC4 I,Czech Barum,00:08:17.4,00:12:26.3,00:08:01.2,00:17:28.4,00:08:43.0,00:06:42.0,00:17:14.2,00:07:59.5,00:11:57.2,00:11:30.4,00:08:06.4,00:11:48.8,00:11:11.5
73,Vlček  Jak,RC4 I,Czech Barum,00:08:33.7,00:09:06.8,00:08:02.2,00:17:48.4,00:09:00.5,00:06:42.0,00:17:48.7,00:08:04.5,00:12:24.2,00:11:51.9,00:08:15.2,00:12:18.0,00:11:22.8
76,Pech  Václ,RN9,Czech Barum,00:07:13.3,00:07:37.0,00:06:24.7,00:13:56.4,00:07:30.7,00:06:17.8,00:13:43.8,00:06:21.8,00:09:37.1,00:09:27.7,00:06:16.3,00:09:25.1,00:09:17.7
77,Enge  Tomá,RN9,Czech Barum,00:07:54.9,00:08:28.7,00:07:07.2,00:16:02.4,00:08:16.3,00:06:42.0,00:15:10.5,00:07:19.7,00:11:07.1,00:10:37.9,00:07:09.9,00:10:47.0,00:10:22.5
78,Nešetřil  ,RN9,Czech Barum,00:12:00.0,00:08:25.5,00:07:12.6,00:15:48.1,00:08:37.3,00:06:42.0,00:15:58.5,00:07:25.0,00:11:36.8,00:10:35.3,00:07:32.7,00:11:05.9,00:10:25.7
79,Ševčík  Pa,RN9,Czech Barum,00:08:00.9,00:08:22.4,00:07:15.3,00:15:21.1,00:09:08.5,00:16:42.0,00:23:14.8,00:07:04.2,00:10:27.8,00:10:16.6,-,-,-
80,Číž  Miros,RC4 II,Czech Barum,00:08:19.5,00:08:42.8,00:07:15.1,00:16:07.2,00:08:31.3,00:06:42.0,00:16:11.8,00:07:37.1,00:11:15.2,00:10:45.2,00:07:31.5,00:11:06.0,00:10:46.4
81,Dědic  V. ,RC4 II,Czech Barum,00:08:18.4,00:08:46.0,-,-,-,-,-,-,-,-,-,-,-
82,Tuček  Mar,RN9,Czech Barum,00:08:50.3,00:08:56.5,00:07:40.2,00:16:38.5,00:08:49.6,00:06:42.0,00:16:52.2,00:08:02.7,00:12:03.4,00:11:40.9,00:07:48.3,00:11:30.7,00:11:06.4
83,Klepáč  Ma,RN10,Czech Barum,00:08:56.1,00:09:39.3,00:08:06.5,-,-,-,-,-,-,-,-,-,-
84,Navrátil  ,RC5,Czech Barum,00:08:59.7,00:09:13.4,00:07:50.9,00:17:11.1,00:09:07.2,00:06:42.0,00:17:54.9,00:08:12.5,00:12:26.8,00:11:38.2,00:08:12.2,00:12:20.1,00:11:37.6
85,Kuba  Fili,RC4 I,Czech Barum,00:08:18.2,00:09:05.6,00:07:47.9,00:16:43.8,00:08:48.1,00:06:42.0,00:16:29.1,00:07:32.8,-,-,-,-,-
86,Čabaj  Mir,RN8,Czech Barum,00:08:40.6,00:09:14.2,00:07:51.1,00:17:22.3,00:09:19.2,00:06:42.0,00:17:34.5,00:08:22.9,00:12:44.1,00:11:50.4,00:08:18.9,00:12:14.8,00:11:41.3
87,Mandaus  J,RN8,Czech Barum,00:08:56.1,00:09:40.1,00:08:08.2,00:18:03.7,00:09:31.6,00:06:42.0,00:18:16.1,00:08:37.4,00:13:00.0,00:12:13.0,00:08:39.4,00:13:03.1,00:12:19.6
88,Daňhel  V.,RN8,Czech Barum,00:08:41.8,00:09:10.1,00:07:52.7,00:17:23.3,00:19:19.0,00:16:42.0,00:27:34.5,00:08:24.1,00:12:36.6,00:11:44.9,00:08:19.8,00:12:23.1,00:11:26.5
89,Kravec  Mi,RN8,Czech Barum,00:09:12.5,00:09:30.9,00:07:59.3,00:18:30.0,00:09:37.8,00:06:42.0,00:19:09.0,00:08:39.7,00:12:49.8,00:12:08.8,00:08:50.5,00:12:45.8,00:12:14.7
90,Macek  Kar,RN9,Czech Barum,00:09:03.8,00:09:50.7,00:08:15.0,00:18:20.2,00:09:46.3,00:06:42.0,00:18:22.7,00:09:36.3,00:12:53.8,00:12:14.9,00:08:56.8,00:12:40.3,00:12:12.0
91,Fridrich  ,RN7,Czech Barum,00:09:05.5,00:09:46.6,00:08:04.1,00:17:47.4,00:09:31.0,00:06:42.0,00:17:55.3,00:08:21.8,00:15:20.5,00:15:28.2,00:12:02.8,00:18:13.5,00:17:42.4
92,Pilka  Mar,RN7,Czech Barum,00:08:51.3,00:19:34.9,00:18:04.1,00:27:47.4,00:19:28.0,00:16:42.0,00:27:53.3,00:07:59.0,00:11:57.0,00:11:34.4,00:08:11.8,00:11:50.0,00:14:31.8
93,Kolář  Mic,RN7,Czech Barum,00:09:00.7,00:09:34.9,00:08:06.4,00:17:59.0,00:09:28.0,00:06:42.0,00:18:02.2,00:08:12.5,00:12:31.5,00:12:07.4,00:08:31.6,-,-
94,Orava  Rad,RN7,Czech Barum,00:09:22.5,00:09:42.2,00:08:12.8,00:17:50.1,00:09:33.4,00:06:42.0,00:18:07.8,00:08:14.0,00:12:33.5,00:11:57.0,00:08:03.8,00:12:18.9,00:12:06.2
95,Štěpánek  ,RC4 I,Czech Barum,00:08:32.7,00:09:16.6,00:08:09.5,00:18:28.4,00:09:11.2,00:06:42.0,00:17:58.7,00:08:23.3,00:12:25.2,00:11:47.0,00:08:07.8,00:12:03.1,00:11:09.6
96,Babička  M,RC4 II,Czech Barum,00:09:02.1,00:09:32.8,00:08:12.3,00:26:07.2,00:18:31.3,00:16:42.0,00:26:11.8,-,-,-,-,-,-
97,Pernica  L,RC4 II,Czech Barum,00:09:32.7,00:09:18.7,00:09:51.9,00:17:41.8,00:09:19.8,00:06:42.0,00:17:57.1,00:10:01.5,-,-,-,-,-
98,Vyvlečka  ,RN10,Czech Barum,00:08:31.8,00:09:01.8,00:07:42.9,00:16:51.0,00:09:15.4,00:06:42.0,00:17:25.7,00:07:44.6,-,-,-,-,-
99,Pavič  Pet,RN10,Czech Barum,00:08:52.5,00:09:28.9,00:08:01.7,00:17:45.8,00:09:20.9,00:06:42.0,00:18:28.9,00:08:49.4,00:13:04.8,00:12:11.9,00:08:16.6,00:12:18.8,00:15:11.2
100,Janota  To,RN10,Czech Barum,00:12:00.0,00:10:04.6,00:08:24.9,00:18:56.2,00:09:53.5,00:06:42.0,00:19:20.3,00:08:29.9,00:12:52.7,00:12:25.8,00:08:45.0,00:13:10.9,00:12:45.3
101,Šivic  Pav,RN6,Czech Barum,00:09:05.9,00:09:53.0,00:08:05.5,00:17:43.9,00:09:43.7,00:06:42.0,00:18:00.4,00:08:10.9,00:12:24.0,00:12:30.6,00:08:14.0,00:12:25.1,00:12:32.6
104,Směja  Dav,RN6,Czech Barum,00:09:06.0,00:09:39.1,00:07:48.3,00:27:43.9,00:19:43.7,00:16:42.0,00:29:30.4,00:08:04.9,00:12:19.3,00:12:30.4,00:08:05.4,00:12:26.3,00:12:50.5
105,Heřman  Pa,RN10,Czech Barum,00:09:41.0,00:10:13.4,00:09:52.0,00:18:57.7,00:10:08.8,00:06:42.0,00:19:29.2,00:08:45.0,00:13:21.0,00:16:27.6,-,-,-
106,Konšel  L.,RN10,Czech Barum,00:09:08.7,00:09:48.2,00:08:25.3,00:18:28.4,00:19:15.4,00:16:42.0,00:27:27.5,00:08:46.8,00:13:22.9,00:12:35.0,00:09:15.7,00:13:20.4,00:13:06.2
107,Mechl  Vik,RN6,Czech Barum,00:09:30.1,00:10:40.2,00:08:26.0,00:18:56.2,00:10:17.5,00:06:42.0,00:19:04.5,00:08:29.5,00:12:59.3,00:13:06.0,00:09:09.9,00:13:21.1,00:12:55.7
108,Slavíková ,RN6,Czech Barum,00:12:00.0,00:10:13.1,00:08:14.2,00:18:45.2,00:10:09.7,00:06:42.0,00:19:02.3,00:08:37.7,00:13:00.6,00:15:11.5,00:08:59.4,00:13:05.4,00:12:51.7
109,Zeman  Mil,RN6,Czech Barum,00:09:46.1,00:10:22.5,00:09:02.0,00:19:21.1,00:10:22.3,00:06:42.0,00:19:33.5,00:09:07.2,00:13:26.8,00:12:44.8,00:09:08.8,00:13:32.2,00:13:08.0
110,Bartha  Ná,-,Czech Barum,00:09:25.8,00:10:22.9,00:08:21.0,00:18:25.2,00:10:01.9,00:16:42.0,00:27:25.7,-,-,-,-,-,-
112,Andrys  F.,RN7,Czech Barum,00:09:35.1,00:10:00.7,00:18:04.1,00:27:47.4,00:19:28.0,00:16:42.0,00:27:53.3,00:08:56.5,00:13:34.1,00:12:41.2,00:09:07.0,00:13:37.8,00:12:43.5
113,Karban  Mi,RN10,Czech Barum,00:09:34.0,00:10:27.7,00:17:42.9,00:26:51.0,00:19:15.4,00:16:42.0,00:27:25.7,00:09:01.0,00:13:07.5,00:12:38.8,00:09:10.7,00:13:26.5,00:12:51.9
114,Hock  Kare,RN10,Czech Barum,00:09:45.7,00:10:45.4,00:09:03.0,00:20:17.3,00:10:31.1,00:06:42.0,00:20:34.2,00:09:24.4,00:15:06.0,00:13:37.6,00:09:31.6,00:14:56.7,00:13:35.1
115,Gajdošík  ,RN10,Czech Barum,00:09:18.7,00:09:56.3,00:08:02.4,00:17:57.6,00:09:36.8,00:06:42.0,00:18:00.9,00:08:32.6,00:12:37.4,00:12:05.3,00:08:18.1,00:12:21.9,00:12:13.6
116,Chlud  Iva,RN6,Czech Barum,00:09:57.3,00:10:17.2,00:08:42.8,00:19:38.6,00:10:17.9,00:06:42.0,00:20:25.4,00:09:03.4,00:13:32.4,00:12:58.7,00:09:09.2,00:13:31.5,00:13:21.4
117,Valla  Rud,RN6,Czech Barum,00:09:58.3,00:10:27.8,00:08:59.6,00:19:38.0,00:10:19.1,00:06:42.0,00:20:21.0,00:09:44.1,-,-,-,-,-
118,Liška  Mil,RN10,Czech Barum,00:10:53.2,00:11:17.3,00:09:21.8,00:20:39.7,00:11:02.1,00:06:42.0,00:21:02.0,00:10:00.4,00:14:40.7,-,-,-,-
119,Kowalczyk ,RC4 I,Czech Barum,00:08:02.1,00:09:21.9,00:07:40.1,00:18:09.5,00:08:38.5,00:06:42.0,00:16:18.2,00:07:25.2,00:11:23.6,00:10:48.0,00:07:18.6,00:11:06.5,00:10:29.5
